appearance_id;artista_proyecto;nombre_cancion;aparicion;tipo;titulo_obra;temporada_episodio;pais_obra;lanzamiento_cancion
OAS037;Oasis;Don't Look Back in Anger;2008;Videojuego;Rock Band ;;Estados Unidos;1995
OAS038;Oasis;Don't Look Back in Anger;2008;Videojuego;Rock Band ;;Estados Unidos;1995
OAS039;Oasis;Don't Look Back in Anger;2013;Videojuego;Rocksmith 2014;;Estados Unidos;1995
OAS040;Oasis;Don't Look Back in Anger;2024;Videojuego;Rocksmith+;;Estados Unidos;1995
OAS041;Oasis;Don't Look Back In Anger;2026;Pelicula;Mike & Nick & Nick & Alice;;Estados Unidos;1995
OAS042;Oasis;Don't Look Back In Anger;2021;Serie;Ted Lasso;S2/E8;Estados Unidos;1995
OAS043;Oasis;Don't Look Back In Anger;2021;Pelicula;To All the Boys Always and Forever, Lara Jean;;Estados Unidos;1995
OAS044;Oasis;Don't Look Back In Anger;2020;Serie;Roswell New Mexico;S2/E4;Estados Unidos;1995
OAS045;Oasis;Don't Look Back In Anger;2018;Serie;Everything Sucks;S1/E1;Estados Unidos;1995
OAS046;Oasis;Don't Look Back In Anger;2017;Serie;Friends from College;S1/E2;Estados Unidos;1995
OAS047;Oasis;Don't Look Back In Anger;2015;Serie;Zoo;S1/E4;Estados Unidos;1995
OAS048;Oasis;Don't Look Back In Anger;2011;Serie;Being Human;S1/E13;Estados Unidos;1995
OAS049;Oasis;Don't Look Back In Anger;2007;Serie;Chuck;S1/E7;Estados Unidos;1995
OAS050;Oasis;Don't Look Back In Anger;2004;Serie;Cold Case;S1/E11;Estados Unidos;1995
OAS051;Oasis;Don't Look Back In Anger;2020;Pelicula;All My Life;;Estados Unidos;1995
OAS052;Oasis;Don't Look Back In Anger;2017;Serie;The Story of Diana;S1/E2;Estados Unidos;1995
OAS053;Oasis;Don't Look Back in Anger ;2020;Serie;Schooled;S2/E17;Estados Unidos;1995
OAS054;Oasis;Fuckin' in the Bushes;2021;Serie;Love Island (UK);S7/E19;Reino Unido;2000
OAS055;Oasis;Fuckin' in the Bushes;2000;Pelicula;Snatch;;Reino Unido;2000
OAS056;Oasis;Fuckin' in the Bushes;2017;Serie;Ex on the Beach (UK);S7/E5;Reino Unido;2000
OAS057;Oasis;Fuckin' in the Bushes;2016;Serie;Top Gear (UK);S23/E1;Reino Unido;2000
OAS058;Oasis;Fuckin' in the Bushes;2008;Serie;Top Gear (UK);S12/E4;Reino Unido;2000
OAS059;Oasis;Falling Down;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS060;Oasis;Falling Down;2008;Serie;CSI NY;S5/E6;Estados Unidos;2008
OAS061;Oasis;Fuckin' in The Bushes;2010;Serie;Top Gear (UK);S15/E3;Reino Unido;2000
OAS062;Oasis;Fuckin' in The Bushes;2008;Serie;South Park;S12/E9;Estados Unidos;2000
OAS063;Oasis;Go Let It Out;2021;Serie;Countdown Inspiration4 Mission to Space;S1/E1;Estados Unidos;2000
OAS064;Oasis;Go Let It Out;2000;Serie;Daria;S4/E7;Estados Unidos;2000
OAS065;Oasis;Half The World Away;2001;Serie;Spaced;S2/E7;Reino Unido;1994
OAS066;Oasis;Hello;2013;Serie;Elementary;S2/E1;Estados Unidos;1995
OAS067;Oasis;Hello ;2013;Serie;My Mad Fat Diary;S1/E4;Reino Unido;1995
OAS068;Oasis;I'm Outta Time;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS069;Oasis;It's Better People;2016;Pelicula;Supersonic;;Reino Unido;1995
OAS070;Oasis;Let There Be Love;2007;Serie;Cold Case;S4/E22;Estados Unidos;2005
OAS071;Oasis;Let There Be Love;2006;Serie;Waterloo Road;S1/E8;Reino Unido;2005
OAS072;Oasis;Listen Up;2001;Serie;Daria;S5/E7;Estados Unidos;1994
OAS073;Oasis;Little By Little;2006;Serie;Cold Case;S4/E2;Estados Unidos;2002
OAS074;Oasis;Live Forever;2008;Videojuego;Rock Band ;;Estados Unidos;1994
OAS075;Oasis;Live Forever;2014;Videojuego;Rocksmith 2014 ;;Estados Unidos;1994
OAS076;Oasis;Live Forever;2021;Pelicula;Fear Street Part Three 1666;;Estados Unidos;1994
OAS077;Oasis;Live Forever;2013;Serie;My Mad Fat Diary;S1/E5;Reino Unido;1994
OAS078;Oasis;Live Forever;2019;Serie;This Is Us;S3/E14;Estados Unidos;1994
OAS079;Oasis;Lyla;2006;Serie;Shameless (UK);S3/E7;Reino Unido;2005
OAS080;Oasis;Morning Glory ;2016;Pelicula;Supersonic;;Reino Unido;1995
OAS081;Oasis;Morning Glory ;2013;Serie;My Mad Fat Diary;S1/E3;Reino Unido;1995
OAS082;Oasis;Morning Glory ;2006;Pelicula;Goal! The Dream Begins;;Reino Unido;1995
OAS083;Oasis;Morning Glory ;2011;Serie;Shameless (UK);S8/E3;Reino Unido;1995
OAS084;Oasis;Part of the Queue;2006;Serie;Waterloo Road;S1/E6;Reino Unido;2005
OAS085;Oasis;Rock 'n' Roll Star;2007;Videojuego;Rock Band (EU);;Estados Unidos;1994
OAS086;Oasis;Rock 'n' Roll Star;2021;Serie;This Is Pop;S1/E2;Canadá;1994
OAS087;Oasis;Rock 'n' Roll Star;2019;Serie;The Good Doctor;S2/E12;Estados Unidos;1994
OAS088;Oasis;Roll with It;2020;Serie;Britain's Got Talent;S14/E7;Reino Unido;1995
OAS089;Oasis;Roll with It;2012;Serie;Shameless (UK);S9/E1;Reino Unido;1995
OAS090;Oasis;Round Are Way;2003;Pelicula;Camp;;Estados Unidos;1995
OAS091;Oasis;Round Are Way;1997;Pelicula;A Life Less Ordinary;;Reino Unido;1995
OAS092;Oasis;Shakermaker;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS093;Oasis;She's Electric;2012;Serie;Shameless (UK);S10/E10;Reino Unido;1995
OAS094;Oasis;She's Electric;2014;Serie;My Mad Fat Diary;S2/E1;Reino Unido;1995
OAS095;Oasis;She's Electric;2016;Serie;People Just Do Nothing;S3/E4;Reino Unido;1995
OAS096;Oasis;Soldier On;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS097;Oasis;Some Might Say;2008;Videojuego;Guitar Hero World Tour;;Estados Unidos;1995
OAS098;Oasis;Some Might Say;2014;Videojuego;Rocksmith 2014 ;;Estados Unidos;1995
OAS099;Oasis;Some Might Say;2012;Serie;Shameless (UK);S9/E4;Reino Unido;1995
OAS100;Oasis;Stay Young;1998;Pelicula;The Faculty;;Estados Unidos;1997
OAS101;Oasis;Stay Young;2025;Serie;The Bear;S4/E6;Estados Unidos;1997
OAS102;Oasis;Stop Crying Your Heart Out;2008;Pelicula;Made of Honor;;Estados Unidos;2002
OAS103;Oasis;Stop Crying Your Heart Out;2004;Pelicula;The Butterfly Effect;;Estados Unidos;2002
OAS104;Oasis;Stop Crying Your Heart Out;2002;Serie;Smallville;S2/E4;Estados Unidos;2002
OAS105;Oasis;Stop Crying Your Heart Out;2019;Serie;Cold Feet;S8/E6;Reino Unido;2002
OAS106;Oasis;Stop Crying Your Heart Out;2002;Serie;Birds of Prey;S1/E1;Estados Unidos;2002
OAS107;Oasis;Supersonic;2014;Videojuego;Rocksmith 2014 ;;Estados Unidos;1994
OAS108;Oasis;Supersonic;2003;Serie;CSI;S3/E20;Estados Unidos;1994
OAS109;Oasis;Supersonic;2014;Serie;My Mad Fat Diary;S2/E4;Reino Unido;1994
OAS110;Oasis;Supersonic;2023;Serie;Beckham;S1/E4;Reino Unido;1994
OAS111;Oasis;Talk Tonight;2016;Pelicula;Supersonic;;Reino Unido;1995
OAS112;Oasis;The Importance Of Being Idle;2006;Serie;Shameless (UK);S3/E6;Reino Unido;2005
OAS113;Oasis;The Masterplan;2003;Serie;CSI Miami;S2/E2;Estados Unidos;1995
OAS114;Oasis;The Masterplan;2022;Serie;Red Rose;S1/E8;Reino Unido;1995
OAS115;Oasis;The Masterplan;2010;Serie;Skins (UK);S4/E2;Reino Unido;1995
OAS116;Oasis;The Nature Of Reality;2008;Videojuego;Guitar Hero World Tour;;Estados Unidos;2008
OAS117;Oasis;The Nature Of Reality;2009;Serie;One Tree Hill;S6/E15;Estados Unidos;2008
OAS118;Oasis;The Shock of The Lightning;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS119;Oasis;The Shock Of The Lightning;2008;Serie;The Hills;S4/E8;Estados Unidos;2008
OAS120;Oasis;The Shock Of The Lightning;2009;Serie;Top Gear (UK);S13/E1;Reino Unido;2008
OAS121;Oasis;The Turning;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS122;Oasis;The Turning;2009;Serie;Waterloo Road;S4/E13;Reino Unido;2008
OAS123;Oasis;To Be Where There's Life;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS124;Oasis;Up in the Sky ;2016;Pelicula;Supersonic;;Reino Unido;1994
OAS125;Oasis;Waiting for the Rapture;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS126;Oasis;Who Feels Love?;2001;Serie;Daria;S5/E13;Estados Unidos;2000
OAS127;Oasis;Who Put The Weight Of The World On My Shoulders?;2006;Pelicula;Goal The Dream Begins;;Reino Unido;2005
OAS128;Oasis;Wonderwall;2008;Videojuego;Rock Band ;;Estados Unidos;1995
OAS129;Oasis;Wonderwall;2009;Videojuego;Rock Band Unplugged ;;Estados Unidos;1995
OAS130;Oasis;Wonderwall;2014;Videojuego;Rocksmith 2014 ;;Estados Unidos;1995
OAS131;Oasis;Wonderwall;2017;Videojuego;SingStar Celebration;;Reino Unido;1995
OAS132;Oasis;Wonderwall;2024;Videojuego;Rocksmith+;;Estados Unidos;1995
OAS133;Oasis;Wonderwall;2021;Serie;This Is Pop;S1/E2;Canadá;1995
OAS134;Oasis;Wonderwall;2020;Serie;Roswell New Mexico;S2/E2;Estados Unidos;1995
OAS135;Oasis;Wonderwall;2013;Serie;Misfits (UK);S5/E1;Reino Unido;1995
OAS136;Oasis;Wonderwall;2013;Serie;Girls;S2/E4;Estados Unidos;1995
OAS137;Oasis;Wonderwall;2007;Serie;Lost;S3/E8;Estados Unidos;1995
OAS138;Oasis;Wonderwall;2006;Serie;Nip/Tuck;S4/E3;Estados Unidos;1995
OAS139;Oasis;Wonderwall;2019;Serie;Schooled;S1/E3;Estados Unidos;1995
OAS140;Oasis;Wonderwall;2014;Serie;My Mad Fat Diary;S2/E7;Reino Unido;1995
OAS141;Oasis;Wonderwall;2007;Serie;Lost;S3/E21;Estados Unidos;1995
OAS142;Oasis;Wonderwall;2020;Serie;Ted Lasso;S1/E7;Estados Unidos;1995
OAS143;Oasis;Wonderwall;2024;Serie;Time Bandits;S1/E8;Estados Unidos;1995
OAS144;Oasis;Wonderwall;2024;Serie;Elite;S8/E8;España;1995
OAS145;Oasis;Wonderwall;2025;Serie;Yellowjackets;S3/E8;Estados Unidos;1995
OAS146;Oasis;Wonderwall ;2018;Serie;Everything Sucks;S1/E2;Estados Unidos;1995
OAS147;Oasis;Wonderwall ;2017;Serie;The Nineties;S1/E7;Estados Unidos;1995
OAS148;Oasis;Wonderwall ;2016;Serie;Frequency;S1/E1;Estados Unidos;1995
OAS149;Oasis;Wonderwall ;2014;Pelicula;Mommy;;Canadá;1995
OAS150;Oasis;Wonderwall ;2011;Serie;Enlightened;S1/E1;Estados Unidos;1995
OAS151;Oasis;Wonderwall ;2010;Serie;Ashes to Ashes;S3/E8;Reino Unido;1995
GOR001;Gorillaz;19-2000 (Soulchild Remix);2001;Videojuego;FIFA 2002;;Canadá;2001
GOR002;Gorillaz;19-2000;2001;Videojuego;Project Gotham Racing;;Reino Unido;2001
GOR003;Gorillaz;19-2000;2010;Videojuego;SingStar ;;Reino Unido;2001
GOR004;Gorillaz;19-2000;2008;Pelicula;Cloverfield;;Estados Unidos;2001
GOR005;Gorillaz;19-2000;2003;Pelicula;How to Lose a Guy in 10 Days;;Estados Unidos;2001
GOR006;Gorillaz;19-2000;2001;Serie;Smallville;S1/E3;Estados Unidos;2001
GOR007;Gorillaz;19-2000 (Soulchild Remix);2010;Serie;Strike Back;S1/E1;Reino Unido/Estados Unidos;2001
GOR008;Gorillaz;5/4;2001;Serie;Smallville;S1/E6;Estados Unidos;2001
GOR009;Gorillaz;Ascension (ft. Vince Staples);2017;Videojuego;Need for Speed Payback;;Suecia;2017
GOR010;Gorillaz;Baby Queen;2022;Videojuego;FIFA 23;;Canadá;2022
GOR011;Gorillaz;Bobby In Phoenix (ft. Bobby Womack);2022;Serie;Hard Knocks in Season;S2/E6;Estados Unidos;2010
GOR012;Gorillaz;Busted and Blue;2019;Serie;Brassic;S1/E4;Reino Unido;2012
GOR013;Gorillaz;Clint Eastwood;2023;Serie;For All Mankind;S4/E2;Estados Unidos;2001
