artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Oasis;Rock 'n' Roll Star (Remastered);2021;Serie;This Is Pop;S1E2;Hail Britpop!
Oasis;Rock 'n' Roll Star (Remastered);2019;Serie;The Good Doctor;S2E12;Aftermath
Oasis;Roll with It;2020;Serie;Britain's Got Talent;S14E7;Auditions 7
Oasis;Roll with It;2012;Serie;Shameless (UK);S9E1;The End of an Era (1)
Oasis;Round Are Way;2003;Pelicula;Camp;;
Oasis;Round Are Way;1997;Pelicula;A Life Less Ordinary;;
Oasis;Shakermaker;2016;Pelicula;Supersonic;;
Oasis;She's Electric;2012;Serie;Shameless (UK);S10E10;One Year On
Oasis;She's Electric (Remastered);2014;Serie;My Mad Fat Diary;S2E1;Alarm!
Oasis;She's Electric (Remastered);2016;Serie;People Just Do Nothing;S3E4;New Friends
Oasis;Some Might Say;2012;Serie;Shameless (UK);S9E4;Vendetta
Oasis;Stay Young;1998;Pelicula;The Faculty;;
Oasis;Stay Young - Remastered;2025;Serie;The Bear;S4E6;Sophie
Oasis;Stop Crying Your Heart Out;2008;Pelicula;Made of Honor;;
Oasis;Stop Crying Your Heart Out;2004;Pelicula;The Butterfly Effect;;
Oasis;Stop Crying Your Heart Out;2002;Serie;Smallville;S2E4;Red
Oasis;Stop Crying Your Heart Out;2019;Serie;Cold Feet;S8E6;Episode 6
Oasis;Stop Crying Your Heart Out;2002;Serie;Birds of Prey;S1E1;Pilot
Oasis;Supersonic;2003;Serie;CSI: Crime Scene Investigation;S3E20;Last Laugh
Oasis;Supersonic;2014;Serie;My Mad Fat Diary;S2E4;Friday
Oasis;Supersonic;2023;Serie;Beckham;S1E4;What Makes David Run
Oasis;Talk Tonight;2016;Pelicula;Supersonic;;
Oasis;The Importance Of Being Idle;2006;Serie;Shameless (UK);S3E6;In with the Maguire's
Oasis;The Masterplan;2003;Serie;CSI: Miami;S2E2;Dead Zone
Oasis;The Masterplan;2022;Serie;Red Rose;S1E8;The Gardener
Oasis;The Masterplan;2010;Serie;Skins (UK);S4E2;Emily
Oasis;The Nature Of Reality;2009;Serie;One Tree Hill;S6E15;We Change, We Wait
Oasis;The Shock Of The Lightning;2008;Serie;The Hills;S4E8;Don't Act Innocent
Oasis;The Shock Of The Lightning;2009;Serie;Top Gear (UK);S13E1;Train, Jaguar, and Motorbike Race
Oasis;The Turning;2009;Serie;Waterloo Road;S4E13;Episode 13
Oasis;Up in the Sky (Remastered);2016;Pelicula;Supersonic;;
Oasis;Who Feels Love?;2001;Serie;Daria;S5E13;Boxing Daria
Oasis;Who Put The Weight Of The World On My Shoulders?;2006;Pelicula;Goal! The Dream Begins;;
Oasis;Wonderwall;2021;Serie;This Is Pop;S1E2;Hail Britpop!
Oasis;Wonderwall;2020;Serie;Roswell, New Mexico;S2E2;Ladies and Gentlemen We Are Floating in Space
Oasis;Wonderwall;2013;Serie;Misfits (UK);S5E1;Series 5, Episode 1
Oasis;Wonderwall;2013;Serie;Girls;S2E4;It's a Shame About Ray
Oasis;Wonderwall;2007;Serie;Lost;S3E8;Flashes Before Your Eyes
Oasis;Wonderwall;2006;Serie;Nip/Tuck;S4E3;Monica Wilder
Oasis;Wonderwall;2019;Serie;Schooled;S1E3;Tamagotchis and Bells
Oasis;Wonderwall;2014;Serie;My Mad Fat Diary;S2E7;Glue
Oasis;Wonderwall;2007;Serie;Lost;S3E21;Greatest Hits
Oasis;Wonderwall;2020;Serie;Ted Lasso;S1E7;Make Rebecca Great Again
Oasis;Wonderwall;2024;Serie;Time Bandits;S1E8;Home Again
Oasis;Wonderwall;2024;Serie;Élite;S8E8;Fin de curso
Oasis;Wonderwall;2024;Serie;Saturday Night Live;S49E14;Josh Brolin / Ariana Grande
Oasis;Wonderwall;2025;Serie;Yellowjackets;S3E8;A Normal, Boring Life
Oasis;Wonderwall;2019;Serie;The Tonight Show Starring Jimmy Fallon;S2019E28;Steve Martin, Martin Short, Tim Tebow, Avril Lavigne
Oasis;Wonderwall;2018;Serie;Everything Sucks!;S1E2;Maybe You're Gonna Be the One That Saves Me
Oasis;Wonderwall;2017;Serie;The Nineties;S1E7;Isn't it Ironic?
Oasis;Wonderwall;2016;Serie;Frequency;S1E1;Pilot
Oasis;Wonderwall;2017;Serie;The Tonight Show Starring Jimmy Fallon;S2017E103;Pharrell Williams, Chris Colfer, Vince Staples
Oasis;Wonderwall;2014;Pelicula;Mommy;;
Oasis;Wonderwall;2011;Serie;Enlightened;S1E1;Pilot
Oasis;Wonderwall;2010;Serie;Ashes to Ashes;S3E8;Episode 8
Gorillaz;19/2000 (Soulchild Remix);2001;Videojuego;FIFA Football 2002;;
Gorillaz;19/2000;2001;Videojuego;Project Gotham Racing;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2001;Videojuego;MTV Music Generator 2;;
Gorillaz;Dub Dumb (ft. Sweetie Irie);2001;Videojuego;MTV Music Generator 2;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2003;Videojuego;Amplitude (Beta);;
Gorillaz;DARE;2006;Videojuego;Dance Dance Revolution SuperNOVA (Beta);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2007;Videojuego;SingStar Pop;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2008;Videojuego;Lumines Supernova (scrapped song);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2008;Videojuego;Scratch: The Ultimate DJ;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2008;Videojuego;Battle of the Bands;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2009;Videojuego;Dance Dance Revolution Hottest Party 3;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2009;Videojuego;DJ Hero;;
Gorillaz;DARE;2009;Videojuego;DJ Hero (DLC);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2009;Videojuego;Guitar Hero 5;;
Gorillaz;DARE;2009;Videojuego;Just Dance;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2009;Videojuego;Rock Band 2 (DLC);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2009;Videojuego;Rock Band 2 (DLC);;
Gorillaz;Re-Hash;2009;Videojuego;Rock Band 2 (DLC);;
Gorillaz;Plastic Beach (ft. Paul Simonon & Mick Jones);2010;Videojuego;Dance Dance Revolution 2010;;
Gorillaz;Stylo (ft. Bobby Womack and Mos Def);2010;Videojuego;DJ Hero 2;;
Gorillaz;Rhinestone Eyes;2010;Videojuego;FIFA 11;;
Gorillaz;19/2000;2010;Videojuego;SingStar (DLC);;
Gorillaz;DARE;2010;Videojuego;SingStar (DLC);;
Gorillaz;Dirty Harry;2010;Videojuego;SingStar (DLC);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2010;Videojuego;SingStar (DLC);;
Gorillaz;Stylo (ft. Bobby Womack and Mos Def);2012;Videojuego;NBA Baller Beats;;
Gorillaz;DARE;2012;Videojuego;Just Dance 3 (DLC);;
Gorillaz;DARE;2012;Videojuego;Just Dance: Greatest Hits;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2013;Videojuego;NBA 2K14;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2014;Videojuego;Fantasia: Music Evolved;;
Gorillaz;Left Hand Suzuki Method;2014;Videojuego;FIFA 15 (Demo);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2014;Videojuego;Grand Theft Auto V (re-release);;
Gorillaz;Let Me Out (ft. Pusha T and Mavis Staples);2017;Videojuego;NBA Live 18;;
Gorillaz;Ascension (ft. Vince Staples);2017;Videojuego;Need for Speed: Payback;;
Gorillaz;Sorcererz;2018;Videojuego;FIFA 19;;
Gorillaz;On Melancholy Hill;2018;Videojuego;Life is Strange 2;;
